                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0244,                 3.6376,                 3.5591,                0.17099,                0.17857,                0.06608,                0.02228,                  2.557,                 5.0793,                 3.2559,             0.00047551,             0.00047551,             0.00047551
                      2,                 2.2519,                 2.9109,                 2.5757,                0.18171,                 0.2381,                0.10932,                0.04358,                 2.1646,                 3.9138,                 2.8191,             0.00093299,             0.00093299,             0.00093299
                      3,                 2.0749,                 2.6943,                 2.3509,                0.45272,                0.46429,                0.38463,                0.15977,                 2.0459,                 2.6601,                 2.4151,              0.0013716,              0.0013716,              0.0013716
                      4,                 1.9955,                 2.5852,                 2.2588,                0.52752,                0.55952,                0.50642,                0.21912,                 1.8896,                 2.5543,                 2.3527,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.9433,                 2.5023,                   2.19,                0.57899,                0.44206,                0.49851,                0.21932,                 1.7821,                  2.472,                   2.19,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.9115,                 2.4309,                 2.1405,                0.58228,                0.59524,                0.55583,                0.26915,                 1.6997,                 2.5004,                 2.0757,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.8816,                 2.3802,                 2.1196,                0.71377,                0.62347,                0.65131,                0.30562,                 1.7471,                 2.4476,                 2.1016,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.8551,                  2.344,                 2.0953,                0.69705,                0.60714,                0.64003,                0.31344,                 1.7789,                 2.2722,                 2.0796,              0.0012309,              0.0012309,              0.0012309
                      9,                  1.841,                 2.3039,                  2.071,                 0.6668,                0.64326,                0.61093,                0.30649,                 1.6526,                 2.0837,                 2.0686,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.8186,                 2.2639,                 2.0535,                0.71251,                0.63095,                0.66782,                0.29723,                 1.7706,                 2.0375,                 2.1187,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.8084,                 2.2344,                 2.0344,                0.69597,                0.54762,                0.65129,                0.28695,                 1.7119,                 1.9019,                 2.0626,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.7981,                  2.219,                 2.0245,                0.69991,                0.72196,                0.77557,                0.40452,                 1.6416,                 1.6905,                  2.003,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.7845,                 2.1844,                 2.0128,                 0.7687,                0.63304,                0.71399,                0.34302,                 1.6588,                 2.0332,                 2.0407,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.7747,                 2.1595,                 1.9972,                0.62462,                0.66667,                0.65449,                0.32968,                 1.6388,                 1.9736,                 1.9519,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.7592,                 2.1343,                 1.9842,                0.76713,                0.72619,                 0.7823,                 0.4322,                  1.514,                 1.7404,                 1.8758,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.7551,                 2.1248,                 1.9697,                0.69856,                0.70238,                0.69486,                0.35821,                 1.5898,                 1.9852,                 1.9524,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.7524,                 2.1128,                 1.9689,                0.75257,                0.68798,                0.70192,                0.38747,                  1.471,                 2.0403,                 1.8998,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.7389,                 2.0899,                 1.9632,                0.83927,                0.80811,                0.85855,                0.50334,                 1.4768,                 1.5834,                 1.7965,               0.000948,               0.000948,               0.000948
